Dist Code,Year,State Code,State Name,Dist Name,PRIMARY SECTOR CONSTANT PRICES (in Millions Rs),PRIMARY SECTOR CURRENT PRICES (in Million Rs),PRIMARY SECTOR CONSTANT SHARES (Percent),PRIMARY SECTOR CURRENT SHARES (Percent),SECONDARY SECTOR CONSTANT PRICES (Millions in Rs),SECONDARY SECTOR CURRENT PRICES (Millions in Rs),SECONDARY SECTOR CONSTANT SHARES (Percent),SECONDARY SECTOR CURRENT SHARES (Percent),TERTIARY SECTOR CONSTANT PRICES (Millions in Rs),TERTIARY SECTOR CURRENT PRICES (Millions in Rs),TERTIARY SECTOR CONSTANT SHARES (Percent),TERTIARY SECTOR CURRENT SHARES (Percent),Total Constant Prices (in Millions Rs),Total Current Prices (in Millions Rs),Per Capita Current Prices (1000 in Rs)
1,2007 (2004),14,Chhattisgarh,Durg,14348,18741,15.21,16.06,45657,56724,48.39,48.61,34351,41217,36.41,35.32,94356,116682,37
1,2008 (2004),14,Chhattisgarh,Durg,12300,18452,12.23,13.37,51149,70733,50.86,51.26,37116,48798,36.91,35.36,100565,137984,43
1,2009 (2004),14,Chhattisgarh,Durg,13876,22189,13.53,15.65,49188,66129,47.98,46.63,39462,53504,38.49,37.73,102526,141821,44
1,2010 (2004),14,Chhattisgarh,Durg,22327,38443,19.24,22.19,49706,72208,42.84,41.68,44004,62605,37.92,36.13,116037,173256,53
1,2011 (2004),14,Chhattisgarh,Durg,22907,42470,19.5,22.31,48519,76354,41.31,40.11,46029,71531,39.19,37.58,117455,190355,57
1,2012 (2004),14,Chhattisgarh,Durg,25174,50836,19.95,23.21,51966,86859,41.17,39.65,49073,81376,38.88,37.15,126213,219071,64
1,2013 (2004),14,Chhattisgarh,Durg,25905,55064,19.37,22.31,54442,96777,40.7,39.2,53420,95022,39.94,38.49,133767,246863,71
2,2007 (2004),14,Chhattisgarh,Bastar,11861,14937,46.79,47.36,5096,6315,20.1,20.02,8394,10285,33.11,32.61,25351,31537,24
2,2008 (2004),14,Chhattisgarh,Bastar,10490,14884,40.77,41.65,6127,8550,23.81,23.93,9113,12299,35.42,34.42,25729,35732,27
2,2009 (2004),14,Chhattisgarh,Bastar,10130,15356,38.66,40.72,6170,8538,23.55,22.64,9903,13816,37.79,36.64,26203,37710,28
2,2010 (2004),14,Chhattisgarh,Bastar,10034,16038,36.52,38.07,6444,9645,23.46,22.9,10994,16444,40.02,39.03,27472,42127,30
2,2011 (2004),14,Chhattisgarh,Bastar,10236,17737,36.67,38.02,6250,10099,22.39,21.65,11430,18813,40.95,40.33,27915,46649,33
2,2012 (2004),14,Chhattisgarh,Bastar,11248,21663,37.52,39.72,6670,11452,22.25,21,12058,21430,40.23,39.29,29976,54544,38
2,2013 (2004),14,Chhattisgarh,Bastar,11742,23877,36.7,38.4,7188,13211,22.47,21.25,13065,25092,40.84,40.35,31994,62179,43
3,2007 (2004),14,Chhattisgarh,Raipur,15656,20297,10.81,11.37,72915,90261,50.36,50.54,56204,68026,38.82,38.09,144774,178584,50
3,2008 (2004),14,Chhattisgarh,Raipur,13742,20386,8.63,9.35,81252,111703,51.01,51.25,64292,85849,40.36,39.39,159286,217938,59
3,2009 (2004),14,Chhattisgarh,Raipur,15340,24223,9.44,10.73,76300,101922,46.96,45.17,70856,99512,43.6,44.1,162496,225657,59
3,2010 (2004),14,Chhattisgarh,Raipur,18528,31343,10.34,11.68,76350,109741,42.6,40.88,84330,127346,47.06,47.44,179208,268431,68
3,2011 (2004),14,Chhattisgarh,Raipur,18969,34593,10.16,11.29,77451,120487,41.49,39.32,90239,151359,48.34,49.39,186659,306439,75
3,2012 (2004),14,Chhattisgarh,Raipur,20733,41441,10.09,11.36,84098,139099,40.91,38.12,100747,184343,49.01,50.52,205579,364883,87
3,2013 (2004),14,Chhattisgarh,Raipur,21322,44838,9.62,10.59,88315,154892,39.83,36.59,112098,223567,50.55,52.82,221735,423297,98
4,2007 (2004),14,Chhattisgarh,Bilaspur,12432,16084,21.32,22.43,18895,23438,32.41,32.68,26971,32190,46.26,44.89,58298,71711,30
4,2008 (2004),14,Chhattisgarh,Bilaspur,11161,16509,17.28,18.73,22462,31260,34.77,35.47,30973,40357,47.95,45.79,64596,88126,36
4,2009 (2004),14,Chhattisgarh,Bilaspur,16162,25729,22.13,24.92,22333,30609,30.58,29.65,34545,46891,47.3,45.42,73040,103230,41
4,2010 (2004),14,Chhattisgarh,Bilaspur,16568,28074,20.69,23.22,23196,34355,28.97,28.41,40318,58478,50.35,48.37,80082,120906,47
4,2011 (2004),14,Chhattisgarh,Bilaspur,17179,31375,20.65,22.86,23466,37449,28.2,27.29,42562,68419,51.15,49.85,83207,137242,52
4,2012 (2004),14,Chhattisgarh,Bilaspur,19065,38093,20.8,23.43,25236,42751,27.53,26.29,47364,81767,51.67,50.28,91666,162612,59
4,2013 (2004),14,Chhattisgarh,Bilaspur,19860,41773,19.95,22.14,27162,49098,27.29,26.02,52514,97824,52.76,51.84,99536,188695,67
5,2007 (2004),14,Chhattisgarh,Raigarh,6985,8968,14.04,14.16,31836,40970,63.98,64.71,10939,13378,21.98,21.13,49759,63315,45
